,CL=F,BZ=F,NG=F,GC=F,SI=F,HG=F
2000-08-24,0.02828219433398761,,,,,
2000-08-25,0.02714994077327968,,,,,
2000-08-28,0.0260545116504935,,,,,
2000-08-29,0.02593355513590462,,,,,
2000-08-30,0.02466580821228208,,,,,
2000-08-31,0.024275657723369034,,0.02470775279213984,0.006946850325989017,0.006770077437373298,0.010678155862198066
2000-09-01,0.02326854534663095,,0.023865488562516447,0.00758565033566253,0.007516523698295165,0.010504743155598155
2000-09-05,0.022275661461057698,,0.02325728013809004,0.007546968179412171,0.007480151517006623,0.010375919661696034
2000-09-06,0.021549442885521634,,0.02369145093361561,0.007500778572492306,0.007450918654209243,0.010933200474590012
2000-09-07,0.023031505892442853,,0.023680053011242198,0.007502623820555931,0.007449411686112569,0.0108052909319715
2000-09-08,0.02215534005197344,,0.02320817912634736,0.007398832173107308,0.00772843387876429,0.010674086631493027
2000-09-11,0.025959351776399298,,0.023556123117427736,0.007320482241231721,0.007701986914903525,0.010584998589230931
2000-09-12,0.027721953251627643,,0.024130707147807424,0.007224219226454609,0.007852562641223632,0.010416273033548862
2000-09-13,0.027585044046065047,,0.023275265049744677,0.007131981840934334,0.007873837392775645,0.010821187717688485
2000-09-14,0.026438676178918607,,0.022646965777907462,0.00704167012896389,0.00785989268578024,0.010646285708046231
2000-09-15,0.025219840667003553,,0.023332323475792057,0.006963634232841664,0.0078093798819300515,0.010485376243503477
2000-09-18,0.028617813516482703,,0.022520125653290958,0.006880464946407582,0.007814311768004864,0.010397825622576597
2000-09-19,0.02850300617962484,,0.022334127117141,0.00684100822193862,0.007771335430189287,0.01024082692940685
2000-09-20,0.02722505464593245,,0.02197122724257504,0.006768799017066659,0.007728499280717033,0.010102146334666067
2000-09-21,0.027141896508514663,,0.02143798662418564,0.007073059796792558,0.008062772671014785,0.010965351962745317
2000-09-22,0.04078831826879127,,0.020832941929131512,0.0070453738321426705,0.008226069921230714,0.012072885670588798
2000-09-25,0.04047250197039606,,0.022137769096965253,0.007040168451563696,0.008334584689569427,0.01193637687084699
2000-09-26,0.039691607237975046,,0.02294463536422669,0.007151512264827197,0.008262235360672249,0.011837763926520029
2000-09-27,0.037468987140596745,,0.02263517055664394,0.007062319108324464,0.008221079272638137,0.011874779722140086
2000-09-28,0.03537981795770687,,0.021934165388523042,0.007717409917106335,0.008316672645907366,0.011701392390181283
2000-09-29,0.03567335833484033,,0.023900547885302225,0.007903089620875152,0.00827129463884021,0.011501070284955783
2000-10-02,0.034166450716253065,,0.023297048482004708,0.00793821841521385,0.0085602830941256,0.01134352118784836
2000-10-03,0.03473199983744981,,0.02406144941682831,0.007826617700415634,0.008480510187819193,0.012121557696038423
2000-10-04,0.03283442148234026,,0.023201925034446708,0.007800858265744777,0.00840432393389889,0.011926485589647358
2000-10-05,0.031593069170817986,,0.022646800942352746,0.007754931667360588,0.008517004491532414,0.011723523494615267
2000-10-06,0.03116467895727655,,0.023309227396001168,0.007639470038521323,0.008460265095863555,0.011889622582996369
2000-10-09,0.029548841028172474,,0.024270571457507804,0.007601970548252627,0.008384573112660767,0.011737392966520504
2000-10-10,0.02978966499737176,,0.02499602076511399,0.007510771637629946,0.008307613087927051,0.011870270464999482
2000-10-11,0.030727427932834516,,0.02410025331778089,0.007593249799573627,0.008366652939482619,0.011878825935349044
2000-10-12,0.029080928755121804,,0.034314237816679846,0.0076349346222826485,0.008577844450661974,0.011706459272198625
2000-10-13,0.03843581048620223,,0.032931431402275765,0.008714621935636602,0.008823812314352456,0.012346419386870372
2000-10-16,0.03750980217583271,,0.031947328939151746,0.009100231963316396,0.008917919829427658,0.012338137900858652
2000-10-17,0.039859238177701935,,0.0322385232194903,0.00896381369755636,0.008817771513857778,0.012118831905048047
2000-10-18,0.03765004019374516,,0.031435417390559606,0.008808565493160347,0.008896853997338106,0.012185640453849282
2000-10-19,0.03597781060520301,,0.03332883917104701,0.008677816778026955,0.008808151870116888,0.012230424091754295
2000-10-20,0.03449011255706995,,0.035243133788696535,0.008528087964310337,0.008789992467358015,0.012008612394353942
2000-10-23,0.03492198445567021,,0.033779422508094334,0.008416669108137594,0.008694745797140434,0.012094890376661147
2000-10-24,0.03344889995186033,,0.03334143734945999,0.008323764446153703,0.00882500010079294,0.011945127255188544
2000-10-25,0.03182196917817567,,0.035484762009341836,0.008184778188221864,0.008748051779625742,0.011755575029380414
2000-10-26,0.030377712633872175,,0.03568364064234526,0.0086199225139192,0.008810145730985056,0.011920513939427795
2000-10-27,0.029672360251974273,,0.034163536116619715,0.008538328523254061,0.008853578863127858,0.012881834790731633
2000-10-30,0.02988092012058858,,0.033760190804924504,0.008403517871952091,0.008782683496777742,0.013007077874082071
2000-10-31,0.028304700917274325,,0.032526458896135126,0.008262518476166224,0.008688089723288397,0.012761330811252697
2000-11-01,0.026853924124750184,,0.0312025312309144,0.00813547884698938,0.008601383588801508,0.01255704030038753
2000-11-02,0.025904553728749734,,0.03227850773105737,0.008048606215931876,0.008563958056944343,0.012781370544615504
2000-11-03,0.02543684212281592,,0.0312861429860001,0.007926520780230983,0.00898640238914119,0.012560785706612888
2000-11-06,0.024154057062908508,,0.03139696391232958,0.007803089383243703,0.008992201142981618,0.012327156715435272
2000-11-07,0.02307719851414876,,0.030357836562689068,0.007685418130241994,0.00893595808659707,0.01242061275218322
2000-11-08,0.02251715014881761,,0.03228113365180569,0.007574365255353314,0.009035795423247377,0.012220155283816602
2000-11-09,0.02147260485409923,,0.03435827379551333,0.0074797895941626094,0.00896865282203016,0.012085697337644625
2000-11-10,0.021342902583153682,,0.033409965076203516,0.007394578297246895,0.008877284014214986,0.011895781057914799
2000-11-13,0.020381182473798845,,0.032021066553006204,0.007372009335214924,0.009002456693689402,0.011690232354234012
2000-11-14,0.019684853189737266,,0.033081035836583506,0.007273763260180106,0.009055254400799793,0.012314351512503527
2000-11-15,0.019169645489666806,,0.03591263493793498,0.007187277431982798,0.008954207473774645,0.012211587510675916
2000-11-16,0.019480370609159792,,0.03600786138007082,0.007093721546319373,0.00885875496117274,0.011988814892860666
2000-11-17,0.019311948634783704,,0.04123689507995569,0.007019801117143312,0.008780316857875552,0.011932026358655472
2000-11-20,0.019073934474055004,,0.04276832746150801,0.0069342758132879415,0.008716510631900433,0.011748529771360537
2000-11-21,0.01859691142224086,,0.041273426969021906,0.006862427947852979,0.008625943619644147,0.01154035333821753
2000-11-22,0.01782956534284455,,0.04025633117759314,0.006803177878664087,0.008569683944264434,0.011469120399468607
2000-11-24,0.01722962905258256,,0.03924298019237427,0.006737178049530076,0.008484848508200062,0.01153146722722477
2000-11-27,0.016553566831330458,,0.03753187580815155,0.006662591297113956,0.008403060839158658,0.011330218289155179
2000-11-28,0.01593558202955242,,0.037085395539823394,0.0071868862294578026,0.008967441354626625,0.013000898254657273
2000-11-29,0.018578038268004485,,0.0385666004729001,0.007099083983887798,0.00886541051315436,0.013224138162452803
2000-11-30,0.018101421772916383,,0.03727103366034722,0.007508783680514564,0.009632294224026618,0.013160555203323794
2000-12-01,0.019046847417093723,,0.040308076530578954,0.007909084543003257,0.009910136926625103,0.013197878424467452
2000-12-04,0.024920433207060045,,0.03877034175258825,0.00786951213092047,0.009905471051076921,0.013701421777916334
2000-12-05,0.024880134767821815,,0.049621715786133634,0.007885506261530995,0.01037599615262073,0.01343453577572795
2000-12-06,0.02993745915108338,,0.04740150289937853,0.007768905836817992,0.010227257974666582,0.013325961294703162
2000-12-07,0.028504429792663842,,0.06003713928815646,0.00818121336253179,0.01034117810868068,0.013201550274148327
2000-12-08,0.02754337052933626,,0.05728799298618432,0.008097622395673963,0.0102816580288566,0.012952042185589296
2000-12-11,0.027813017893169523,,0.05502677098183509,0.00800991930250054,0.01075670358142606,0.012875637116406945
2000-12-12,0.02826925389528813,,0.059426846113288107,0.008042582966211922,0.010587910847051199,0.012639466809522874
2000-12-13,0.026895000765934034,,0.07045925113508293,0.007914130655840693,0.010420701810918018,0.01248800016347703
2000-12-14,0.02868209627676205,,0.07097942084186248,0.0079110719117981,0.010414079049917613,0.012279499519247917
2000-12-15,0.02803611639063291,,0.06807732694518812,0.007791436139526772,0.010325064492344865,0.012212722775529572
2000-12-18,0.028542638933151246,,0.0749663485407946,0.0077385530018638515,0.010311017552750401,0.012621931312264204
2000-12-19,0.028342583667995015,,0.0715769261527229,0.007646026237940781,0.010169059604603172,0.012393980755701629
2000-12-20,0.028445682512963696,,0.07096452902866245,0.007533513599860831,0.010027784177206282,0.01216651541993097
2000-12-21,0.04543666770678152,,0.0681467170096768,0.007708423327029631,0.009894638631166417,0.012242052634811176
2000-12-22,0.04307145181491582,,0.06672898407530814,0.007639588934393881,0.00975409925239991,0.012143316018392393
2000-12-26,0.04064698042569811,,0.06417851197123134,0.00752733430236036,0.009634953187519476,0.011958762253958071
2000-12-27,0.03873962905994227,,0.061563350159047445,0.007422973091532888,0.009520767446605244,0.011771352436223206
2000-12-28,0.03665716689739009,,0.05914429131845024,0.00735860696742727,0.009595552659716204,0.01221448191570679
2000-12-29,0.03540891581128786,,0.061440735394254126,0.007749994891736749,0.009467973270651298,0.012049797337659967
2001-01-02,0.03529422497721371,,0.06076103939439466,0.007634704894836422,0.009344650041128172,0.01192837761086955
2001-01-03,0.033650515456389904,,0.07463111919852337,0.008036143348584282,0.009433688336576316,0.013737418192487647
2001-01-04,0.03290965308816962,,0.07132123049136413,0.007916930851939482,0.009703240947933716,0.013535848053727604
2001-01-05,0.031230159740476097,,0.0732138657115638,0.0078172144401379,0.00978877373494006,0.013454029343110211
2001-01-08,0.029648803134591253,,0.07024923282990979,0.007712111657360866,0.009715563768281987,0.013863270069107082
2001-01-09,0.029085610346815276,,0.0684472890816885,0.007596958010221009,0.009594758253250167,0.013591651164317726
2001-01-10,0.027849645013785684,,0.06531408720697746,0.0074999245994173515,0.009468301848615001,0.01335015900601927
2001-01-11,0.032832660591863794,,0.06533417666038707,0.007727008617877337,0.009374514084710602,0.013094010155370556
2001-01-12,0.031046327211180974,,0.06429119208907288,0.007635903611054751,0.009315230492578486,0.012848296333730247
2001-01-16,0.029921111591371383,,0.061875871752250816,0.0075249193416178535,0.009719367766812877,0.012943864682976711
2001-01-17,0.02848369441474013,,0.06052958554835179,0.0074365826978267146,0.009937066574883479,0.013613862923680189
2001-01-18,0.028025334843061106,,0.07513415248959049,0.007333690716217383,0.009916112066190957,0.013442807019637827
2001-01-19,0.0278136831246761,,0.07224500285876556,0.007268963684003735,0.01053263365772182,0.01577589413444243
2001-01-22,0.03111618717500458,,0.07027802663852055,0.007171481290377627,0.010580410808394032,0.015823654261007025
2001-01-23,0.029466008633060484,,0.06699308640602217,0.007250148076863754,0.010475838974440843,0.015519216261707413
2001-01-24,0.03757373330715349,,0.0673772129558016,0.0071597985662208855,0.010311781165571611,0.015200992620888318
2001-01-25,0.03594598416806583,,0.06464808457919947,0.007218913382537939,0.010161312228317,0.015140656081362305
