,trend,seasonal,residual,ticker
2000-08-23,34.195921069926186,-0.21126094245253324,-1.934660890413106,CL=F
2000-08-24,34.15817179978916,-0.4246501340752229,-2.1035225049473354,CL=F
2000-08-25,34.12042970228756,-0.3961753621191373,-1.6742551031078747,CL=F
2000-08-28,34.08269487188317,0.4623097483370822,-1.6750056883354887,CL=F
2000-08-29,34.044967410678794,0.5782592190744725,-1.903225409050144,CL=F
2000-08-30,34.0072474282907,1.0307363622212071,-1.6379822646329956,CL=F
2000-08-31,33.96953504223261,0.9479104483793667,-1.8174470164908811,CL=F
2000-09-01,33.93183037751451,1.248853299904007,-1.80068260930328,CL=F
2000-09-05,33.89413356689877,1.492677548811764,-1.5868118786499892,CL=F
2000-09-06,33.856444750833425,2.324612757881758,-1.2310567457757315,CL=F
2000-09-07,33.818764076705406,2.969411184413535,-1.4581734300642566,CL=F
2000-09-08,33.7810916979788,1.7911388187331043,-1.8722297537724515,CL=F
2000-09-11,33.74342777477027,2.9395378089863677,-1.5829671096355398,CL=F
2000-09-12,33.705772474793584,1.8516910277029293,-1.3574627395570573,CL=F
2000-09-13,33.66812597278651,1.2005245492730694,-1.068651284999035,CL=F
2000-09-14,33.63048844961918,1.2662309128163844,-0.7967208883144679,CL=F
2000-09-15,33.59286009128983,2.28778163380815,-0.030643250976886804,CL=F
2000-09-18,33.555241087608366,1.5727219375076356,1.7520380429992315,CL=F
2000-09-19,33.51763162905693,1.128486272430991,1.8538820985120807,CL=F
2000-09-20,33.48003190194436,1.9696942368388255,2.050273861216816,CL=F
2000-09-21,33.44244208697676,-0.18318396296682515,0.6907426389295139,CL=F
2000-09-22,33.404862359543586,-0.7818636603029705,0.027002826638288013,CL=F
2000-09-25,33.36729289317629,-1.476134024179276,-0.3211591741727986,CL=F
2000-09-26,33.329733862153354,-1.68964432123212,-0.14008954092123105,CL=F
2000-09-27,33.29218544263345,-2.0866046168773695,0.29441917424391306,CL=F
2000-09-28,33.25464781216164,-2.6436726428916435,-0.31097593220945186,CL=F
2000-09-29,33.21712114886781,-2.296482967130893,-0.06063757138535664,CL=F
2000-10-02,33.179605632502884,-1.4528747102167323,0.4232706035927549,CL=F
2000-10-03,33.14210144390711,-1.5484455109557418,0.47634376187285454,CL=F
2000-10-04,33.104608763672594,-2.017579162319482,0.412970398646884,CL=F
2000-10-05,33.06712777175753,-2.256177724912414,-0.16095042831484108,CL=F
2000-10-06,33.02965864793221,-2.31129495350977,0.13163668704729048,CL=F
2000-10-09,32.99220157298816,-1.7094947879095237,0.5972923756879638,CL=F
2000-10-10,32.95475672810858,-1.0598773506713755,1.255122148441707,CL=F
2000-10-11,32.917324293230415,-0.9361263425647328,1.168803575213225,CL=F
2000-10-12,32.87990444530639,0.9135862553903288,2.3065077734243786,CL=F
2000-10-13,32.842497357499084,0.38511022117900445,1.8223916583824575,CL=F
2000-10-16,32.80510319701695,-0.8541600815197846,1.149055358623933,CL=F
2000-10-17,32.767722125859386,-0.9121935334831425,1.0944721705632077,CL=F
2000-10-18,32.730354302554844,-0.4827990374950506,1.3024439720007521,CL=F
2000-10-19,32.692999882516375,-0.9451956830798465,1.2021965635029233,CL=F
2000-10-20,32.65565901765554,0.06390275078641044,1.580437468618598,CL=F
2000-10-23,32.618331856265016,-0.31968499966129105,1.4313526856326035,CL=F
2000-10-24,32.58101854231712,-0.42784317359116186,1.2168235631588118,CL=F
2000-10-25,32.543719215675665,-0.8618002068544769,1.2780800756514665,CL=F
2000-10-26,32.50643401258663,-0.685578202213694,1.9291441896270598,CL=F
