,CL=F,BZ=F,NG=F,GC=F,SI=F,HG=F,ZC=F,ZW=F,ZS=F,XLE,XLB,XLI,GDX,SIL,JETS,IYT,XOM,CVX,FCX,NEM,APA,OXY,TECK,SM,TGB,GORO,SPY,QQQ,IWM,IJH,MGC,^VIX,DX-Y.NYB,^TNX
2000-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-16,,,,,,,,,,0.3100501098072653,0.28993016222008755,0.23495775549398615,,,,,0.3830040602402939,0.35115358062623453,0.4567233804712261,0.7585998265139037,0.5891163916693436,0.3933399182936904,,0.5542820474114412,0.9764355585433454,,0.29701662295697673,0.6406590080369295,,,,1.048128191666679,0.07018491227557565,0.14673274458809057
2000-02-17,,,,,,,,,,0.3050641059560137,0.2853045749325751,0.2320125773182606,,,,,0.3847621063587439,0.34546115616075324,0.45059461387717986,0.7595792363294035,0.5834671898100997,0.39252972862257934,,0.546534004345467,0.9621165830734454,,0.29237358021064647,0.6325609693617809,,,,1.031792593744368,0.06915165983658045,0.14465424231260357
2000-02-18,,,,,,,,,,0.31185002329123884,0.29023877127674363,0.23454574642127465,,,,,0.392709773183535,0.3437556281880196,0.44353406834589665,0.7668687332373174,0.5951976064544995,0.3889682400703988,,0.5420308680036695,0.9469915690581499,,0.2930942613297485,0.6319132333369969,,,,1.065441842593921,0.06833569256209618,0.14702836827100754
2000-02-22,,,,,,,,,,0.30802709609621415,0.3025424281914792,0.2370509927187583,,,,,0.3871772988894894,0.3386837707865253,0.43745591923220534,0.7575647376188799,0.5905158810777462,0.38334246792234233,,0.5372909446861497,0.9491311430211397,,0.2886209104166007,0.6222892497610812,,,,1.0493764938620718,0.07773085137542782,0.15635909334420087
2000-02-23,,,,,,,,,,0.31149688816238225,0.29863755665578146,0.2339195883110429,,,,,0.38236358937393544,0.3432700892350206,0.45687969675237566,0.7738878528789324,0.5865980014150958,0.3815202725872294,,0.5299683352868992,0.935144919667462,,0.28679316925242654,0.6293388108253272,,,,1.0565266195118708,0.07668963128494853,0.1587197022608556
2000-02-24,,,,,,,,,,0.3081499687580091,0.30632897703358264,0.23111807210847404,,,,,0.38190007137832815,0.34308425476042664,0.5276680070359139,0.7627656244034023,0.6002077356572254,0.3785437633756996,,0.5246256549205583,0.9230907979523655,,0.28689269224810093,0.622237116477129,,,,1.042760893709038,0.07621647340288294,0.15970464222612177
2000-02-25,,,,,,,,,,0.30769797724463,0.3033620783661384,0.23105492986498477,,,,,0.3810935467066136,0.33829828879459056,0.5397988710247584,0.7584164900931946,0.5951287816683076,0.3850002283069252,,0.5188205942043664,0.9173773828743212,,0.28290073930468934,0.6173906938703082,,,,1.0317519937604056,0.08036829428249884,0.15747104693430142
2000-02-28,,,,,,,,,,0.31424523050818115,0.30005718196881137,0.22854274158383558,,,,,0.3872951698552503,0.35980108033773767,0.5327439342660986,0.7482788464599454,0.5998284008604159,0.3818372754755867,,0.512542202554107,0.9050287430718097,,0.2853269256674285,0.6090439269259115,,,,1.0192801554510087,0.07933817000210387,0.15853279070665374
2000-02-29,,,,,,,,,,0.3160133588002346,0.296099670326288,0.22844577596689863,,,,,0.3877871427546829,0.35521722598294436,0.5264824704724612,0.7383887840185537,0.613518113858495,0.3798199605383683,,0.5060477065014479,0.9004737706867973,,0.2830187645422171,0.6039753920919814,,,,1.0154657014785349,0.07925679331635721,0.15643407374048635
2000-03-01,,,,,,,,,,0.3182714251418087,0.29254979128065495,0.22558654297359,,,,,0.3837362024475254,0.3515643569851197,0.5264712744402049,0.7314504523256392,0.60747564474685,0.3752894065243361,,0.5033822386918709,0.9129547651329561,,0.2802187802159798,0.5963195885992321,,,,1.0203544704990801,0.0831232244341456,0.15476501625520883
2000-03-02,,,,,,,,,,0.31750527727790195,0.29174235707208507,0.22336700345051802,,,,,0.3802436177016955,0.3477403402543152,0.5314577134644587,0.7303174555817002,0.6115429138925356,0.39556775806249916,,0.4989634055498554,0.9027968609049899,,0.27673441756830247,0.5925036765524877,,,,1.0093280819954022,0.08345067097140324,0.15303905750217722
2000-03-03,,,,,,,,,,0.31630655932115515,0.30266415328592294,0.23248351605378217,,,,,0.3778567607903735,0.34489002873785507,0.5336081906572989,0.7213611851194187,0.6042081427590423,0.3949188848764089,,0.4928515055016657,0.9015598718651818,,0.2775812940006841,0.5991079880975557,,,,1.0202631334825918,0.08257513425503839,0.15138290849703578
2000-03-06,,,,,,,,,,0.31286805647003285,0.3025715283778463,0.22975032590008215,,,,,0.38355163807122866,0.34097800688841334,0.5288929485696692,0.7148308354141012,0.6004385943539678,0.3906920552804625,,0.48702545316508267,0.8920701703259167,,0.2751353144850223,0.5920145830927633,,,,1.0478232836895638,0.08158725345365937,0.15042065588913842
2000-03-07,,,,,,,,,,0.3478622207985121,0.30595999634633186,0.24505980166087957,,,,,0.4407271283389811,0.4038957477764251,0.5400245355410401,0.7515510678616264,0.631135192965808,0.39585564246452454,,0.48170895647973994,0.8843099758214041,,0.27553823034389047,0.5868667686065401,,,,1.078305960201841,0.08077473660506408,0.1489060496722218
2000-03-08,,,,,,,,,,0.346572189035221,0.3092455990672451,0.24437851983273132,,,,,0.43587127040146234,0.3992915734535114,0.5355037672263389,0.751421000991982,0.6256937616047307,0.39142441711580794,,0.48491093095831206,0.8742535349751083,,0.2723892133065237,0.5803100645160586,,,,1.0670806130092754,0.08012657079643201,0.14721285267182624
2000-03-09,,,,,,,,,,0.34269989540089874,0.3059335132343017,0.24360333059736178,,,,,0.43159349773849914,0.399904656237431,0.53044791334718,0.7462775429793278,0.6212832216123481,0.387878987460039,,0.4826245383654169,0.8645325965291449,,0.27843847319701875,0.5779887902866107,,,,1.067666546480862,0.08069278621367697,0.14599236280434238
2000-03-10,,,,,,,,,,0.34065127276343793,0.304303809479843,0.24121007820261486,,,,,0.43885198661485925,0.40385882302470855,0.5247341837063494,0.7417670099985217,0.6166958349824695,0.3859713652509815,,0.48743147738489756,0.8551289090723188,,0.2756053057012325,0.5720159096819002,,,,1.0606340936343481,0.0799634270610257,0.1455585839768351
2000-03-13,,,,,,,,,,0.3389170452367363,0.3046500582284652,0.24044790099772342,,,,,0.43549692930799994,0.3998049099716018,0.5191241935690077,0.7351708023989714,0.6103049987262663,0.38184332153441786,,0.48442006710621355,0.8472716726681053,,0.2736566206817896,0.5702188409963308,,,,1.063585352752718,0.07943120356094129,0.14421137322240218
2000-03-14,,,,,,,,,,0.33645017408780353,0.3028516548373946,0.2380207769401142,,,,,0.4329744769320728,0.4051134472274767,0.5146929228419341,0.7299208940910169,0.6039175541654919,0.37821573140604275,,0.4901782006431551,0.8384518979247974,,0.2724663723472185,0.5718897955980211,,,,1.0634392898120049,0.07888694282754702,0.14432187913799227
2000-03-15,,,,,,,,,,0.33321763098616813,0.33165262997555456,0.2538741397432919,,,,,0.42879097096476726,0.40197887031176976,0.5290399841194445,0.7236140097656567,0.6014948460714851,0.3757428969992567,,0.4857750517865503,0.8322546089568607,,0.2751513311747839,0.5751137302833105,,,,1.0712375813762536,0.07807983701766825,0.1429706267291658
2000-03-16,,,,,,,,,,0.34249055278844925,0.3550578852087183,0.27908704396088757,,,,,0.4282287897916393,0.39796332919061567,0.531835108078663,0.7242895589075736,0.6044196799184931,0.3898175168240242,,0.4808991887360567,0.8260760167291282,,0.2912954137821494,0.5817997620213403,,,,1.0722365302156303,0.07756413541878368,0.14200940006624418
2000-03-17,,,,,,,,,,0.34657377758044194,0.35827207026556707,0.27633980193560365,,,,,0.430540584810422,0.3946553935814089,0.531670640638857,0.7172027311420699,0.6027740947858926,0.386010038572744,,0.47829137131121763,0.81919004250972,,0.28877640474165933,0.5771550015487897,,,,1.0751942231609992,0.07681801903557425,0.14147547321152365
2000-03-20,,,,,,,,,,0.3451745611813709,0.3563441367953972,0.2740319288390555,,,,,0.43118002764769287,0.39097089698386334,0.538098696997021,0.7105553644449966,0.5983712522173568,0.3826854025014286,,0.4811068527124792,0.8173025108661315,,0.2862252374541019,0.5757213644245707,,,,1.0664992301183835,0.07613772157703472,0.14015548106010164
2000-03-21,,,,,,,,,,0.3483530877264519,0.3543953401581823,0.2755120437372513,,,,,0.4315777848798327,0.39510572275608025,0.5342928753867807,0.7116012328617173,0.5947181262094035,0.3833049648891258,,0.4787944676212445,0.8176116488617572,,0.2868404369052986,0.575146027551781,,,,1.0631574666188701,0.0762967917318346,0.1391528644733987
2000-03-22,,,,,,,,,,0.34564556160147325,0.3546559079298397,0.2730924518031048,,,,,0.43143455267789205,0.39484431543225096,0.5608214958236801,0.7088015112183562,0.5942447797240022,0.38060745144672964,,0.47436241019586617,0.8112365845879326,,0.2844191807951766,0.5709400273810787,,,,1.0533962878880878,0.07562825061837664,0.13789953026488105
2000-03-23,,,,,,,,,,0.3425188790870925,0.3583868738628221,0.275094432278422,,,,,0.42784624144978284,0.3915345874847312,0.5909492384305337,0.7028649832999562,0.5899735455850625,0.37754902484894665,,0.47037162471203736,0.8308337438916025,,0.2839374770539316,0.5665080133015521,,,,1.0467821658512368,0.07717379822311175,0.1374387860561066
2000-03-24,,,,,,,,,,0.33945709642610306,0.3552092239569894,0.2729072274543304,,,,,0.4268705677030579,0.3887607416268275,0.5857854392394758,0.6974728293419519,0.5847426177434836,0.3749391938040206,,0.46617075605430297,0.8261344514365941,,0.28158788687899117,0.5618025928522619,,,,1.042208703589164,0.07727480013440852,0.14156077940592116
2000-03-27,,,,,,,,,,0.336501461625009,0.35209763798843313,0.2717764397140718,,,,,0.4235639678393917,0.3862943301229447,0.5806627444656619,0.6940327290711389,0.5796996085887235,0.37164636224057596,,0.4663657084184908,0.8201216226333184,,0.28015885302925597,0.556871427394444,,,,1.0386273186314448,0.07750694540919631,0.14061669074009361
2000-03-28,,,,,,,,,,0.33378142357173185,0.35071150008355556,0.2694798107964634,,,,,0.4251557235291139,0.38301237781747527,0.5773578978614164,0.6880333798513698,0.5792127141000382,0.36878877508729785,,0.5125911055783293,0.813091659889201,,0.2780651734639076,0.5554186778913155,,,,1.0299925877763976,0.07683626838854142,0.13954523954849168
2000-03-29,,,,,,,,,,0.34654803600779044,0.35095079303051074,0.2684285653412449,,,,,0.4232510573888869,0.3891280842772617,0.6035981974600642,0.6826887777376478,0.5928681173333465,0.36808204475495887,,0.516268630468852,0.8074654367374662,,0.27569953667916985,0.558537932945205,,,,1.023264566184413,0.07714380403213035,0.1384451095174387
2000-03-30,,,,,,,,,,0.3436671789388959,0.3530255036195037,0.26649452505389026,,,,,0.4225625848784812,0.39423353834419056,0.5986842679677392,0.6770254244130339,0.5911380985556426,0.3733341893138749,,0.5137294852112839,0.8007856107989354,,0.27571557744956854,0.5567397231339718,,,,1.0209223651663821,0.07835473552773745,0.139694868388796
2000-03-31,,,,,,,,,,0.3411367232393935,0.35012866532499504,0.26431610268285627,,,,,0.4194056474175692,0.3909936803489086,0.5937620360653203,0.6715005256147966,0.5862767680213467,0.3735704095110565,,0.558189877708788,0.8031884143565177,,0.274324918998485,0.5534472496067497,,,,1.018729031467734,0.0777427154573287,0.13901969054541757
2000-04-03,,,,,,,,,,0.33975001871813787,0.3538541257365434,0.2623002693095489,,,,,0.4207596445155756,0.3878774213737034,0.5896437067984671,0.6660668536993368,0.5834825097775111,0.3705886882627424,,0.556704095060928,0.8248217434899283,,0.27230398533883526,0.5637527745261549,,,,1.01050107194217,0.07711364103812776,0.13822972587401075
2000-04-04,,,,,,,,,,0.33839888125979434,0.35381333067687354,0.25703521727499773,,,,,0.42149103769803686,0.3922294285912316,0.5812551113555532,0.6538489357266081,0.5771472371397183,0.3685138832034232,,0.5955093083253379,0.8191891695527302,,0.2601260821290024,0.5447732611701168,,,,1.0158297132542489,0.07756453533959151,0.1448631341376622
2000-04-05,,,,,,,,,,0.3408267619346006,0.3436595981994418,0.25698421319330544,,,,,0.41382365258268544,0.39452823774084766,0.5770554963561223,0.653579037010248,0.5786809609223905,0.3695052610172453,,0.6040256688894626,0.8221352580863927,,0.260547364756084,0.5433454191453916,,,,1.0189667137575087,0.07753995577210161,0.14071994390400114
2000-04-06,,,,,,,,,,0.3364139855096432,0.33917028313295994,0.2562028145586009,,,,,0.40415529550389395,0.38696144790969794,0.5753153465202172,0.655050535780539,0.5550466062365464,0.3722216760219213,,0.6064518734275438,0.8162528713540622,,0.258593368013329,0.5238787709239476,,,,1.0217874245843925,0.07749554017219396,0.14099244803360556
2000-04-07,,,,,,,,,,0.33741673746629336,0.34023684261985876,0.2468155578643476,,,,,0.40761200841422357,0.38952744319593585,0.6084329953552077,0.6505872034924846,0.5550085008019265,0.36843030353203193,,0.6144411681011976,0.8145674774219833,,0.23346403806476035,0.4770508342830274,,,,0.9866157019778985,0.07779969442421751,0.14191317460497488
2000-04-10,,,,,,,,,,0.338332014601255,0.3445380553864758,0.2468321873683758,,,,,0.4079783976246983,0.3857937094922583,0.6213970837794547,0.6506712092535488,0.5580595004052411,0.362619462714059,,0.6300843270651393,0.8220028708178888,,0.2335717512009993,0.4919907690993415,,,,0.9942822075501722,0.07808561386237597,0.14136075880023452
2000-04-11,,,,,,,,,,0.34004350534096617,0.34788175203152605,0.24652011636999763,,,,,0.4090489740393861,0.39002375009443296,0.636241885711897,0.6413207006395005,0.5624648167110269,0.3549800716447238,,0.6390331905610259,0.7816674096701295,,0.2322847753951191,0.4837151759348953,,,,0.9961105175514047,0.07749580950295765,0.14063057491998746
2000-04-12,,,,,,,,,,0.3402474268128348,0.3512093968726017,0.24802849279564407,,,,,0.40921116198545804,0.3899849775775575,0.6438970091387776,0.6450828619655696,0.5650919910546486,0.3549646851852837,,0.6506420950063041,0.7748856691726721,,0.23826568707013412,0.4973221862706045,,,,1.002711676887283,0.07750503590891795,0.144248306272393
2000-04-13,,,,,,,,,,0.3386452585246814,0.35517870023870823,0.2452324293084983,,,,,0.40641992145449335,0.39248475729813775,0.646897309971143,0.649667662324489,0.5658902399891828,0.3493741256004659,,0.6503224455682541,0.7746777905310841,,0.23847200246854677,0.49156853167185155,,,,0.9967613518223232,0.07729513154307725,0.14361034758933508
2000-04-14,,,,,,,,,,0.3413138606359203,0.3715186325594079,0.28021874488285375,,,,,0.40570822361405573,0.39335102581283937,0.6492047477181121,0.653756930831476,0.5680423247717897,0.34817548175002516,,0.6631365304737487,0.7749003868118566,,0.2643185796627513,0.5210641857999602,,,,1.005052424957633,0.07672089522115304,0.14222679372759678
2000-04-17,,,,,,,,,,0.3439747456767379,0.36890990554437614,0.28457678569006123,,,,,0.4131197788787321,0.3949401217336671,0.6473758945908953,0.6489330097009219,0.5564251968149919,0.35215595220160467,,0.6170669576177573,0.7533944774152784,,0.2733034337351364,0.5665096961604463,,,,1.0375196041275527,0.07693697478344252,0.14547923788238684
2000-04-18,,,,,,,,,,0.3440817343579624,0.3687819562676675,0.2846387559985874,,,,,0.4130679705908727,0.3959122254202532,0.6495511390646654,0.6485101461395472,0.5583165125440007,0.3580922695408648,,0.6168260617440323,0.6964075328888413,,0.27793288622509443,0.5671848196049583,,,,1.0595054418918093,0.07728502365202153,0.14705094762362095
2000-04-19,,,,,,,,,,0.3468122770364641,0.36601754489055643,0.28446537445647174,,,,,0.4125027105465158,0.39584154174949054,0.6520572291170479,0.6451302653294648,0.5637489983163048,0.35936472896210697,,0.6204525914905479,0.7403546137728491,,0.27684634863984686,0.5701574314186386,,,,1.0613042975876636,0.07708508815528466,0.14805300465382037
2000-04-20,,,,,,,,,,0.34245588358710966,0.3696357834555247,0.28378374567927955,,,,,0.41332310901092684,0.3968265584622478,0.652070953121252,0.6455701764724575,0.5629236456888684,0.35755875343028953,,0.6161607939875655,0.7403546137728491,,0.27698914058809004,0.5710119046759157,,,,1.061407273376868,0.07695445275515707,0.14764559937178873
2000-04-24,,,,,,,,,,0.33526299115306796,0.36612529803209537,0.2774448729291189,,,,,0.41371223538701474,0.39750935213978505,0.6513214935600993,0.6418703765210693,0.563398774111568,0.35118334873055057,,0.6180621105334108,0.7131301638960833,,0.27171942228578155,0.5655639113795451,,,,1.0277610084382116,0.07678331750502529,0.14550267652363688
2000-04-25,,,,,,,,,,0.335222491517496,0.3643576744130258,0.2946444668791477,,,,,0.4147476280494907,0.3975913590903866,0.6519715619265213,0.6357650711706739,0.565712605725057,0.33685628754617053,,0.6166692894277852,0.7005051101662545,,0.28270692309122464,0.5802027764855059,,,,1.037016715772634,0.08059066951834533,0.15271564490451234
2000-04-26,,,,,,,,,,0.33443650380070394,0.36587742682591373,0.2962331557009345,,,,,0.4150830232766613,0.39881951712300007,0.6461996441606767,0.636246687703179,0.5649848647169419,0.3350532326889994,,0.6164744496034198,0.6977197816758038,,0.28321087227272634,0.5785251663291328,,,,1.0450858148184758,0.08070467883332544,0.15287113035698557
2000-04-27,,,,,,,,,,0.3324444960028705,0.3656850265202121,0.29609897861235834,,,,,0.4108760377668707,0.3934093879193835,0.6312043315672092,0.6127893654549984,0.5557696652431432,0.33466386456148933,,0.6165447161755372,0.6961707905369166,,0.28316792788332606,0.5843834970736602,,,,1.046245640509775,0.0815271731701155,0.15717097226626242
2000-04-28,,,,,,,,,,0.33735050404725203,0.36465245222337206,0.29106385806527935,,,,,0.4144583248196245,0.39876293680916114,0.6334318982980991,0.5993256038436939,0.5555521867627049,0.3379381445203483,,0.6166785992202085,0.6938404614297372,,0.2758212929771678,0.5794816815227518,,,,1.0250624299286575,0.07850573703876355,0.15698100853534971
2000-05-01,,,,,,,,,,0.33578682167569013,0.3645006111200493,0.2940238335563807,,,,,0.40212561609085157,0.39890092761981216,0.6385683899328108,0.5987634005671676,0.5578861773387394,0.3396626958296711,,0.6223860659274393,0.6907233837453439,,0.27204215645908975,0.5738627622056318,,,,1.0210078909076175,0.07848945100618897,0.15753490351404664
2000-05-02,,,,,,,,,,0.3367216126381615,0.36794209445985404,0.29451706275472644,,,,,0.4021007838930563,0.40429081366449116,0.6589570846784089,0.639337692646641,0.5537238108367643,0.33953658527945774,,0.6079602898550119,0.6885419980451534,,0.2746365117586982,0.583923593072838,,,,1.0306607269071617,0.07894393189957982,0.1582410634808981
2000-05-03,,,,,,,,,,0.34102150443513246,0.369165406219944,0.30300421336087663,,,,,0.4021101984197031,0.4068108563823719,0.6595227591104548,0.6331178399055408,0.5579319018825502,0.34437306844621707,,0.6041301830966505,0.6877451517727357,,0.27882657624736984,0.5840404675594139,,,,1.0496165148891008,0.0805272665847912,0.1610124770199346
2000-05-04,,,,,,,,,,0.34347926303369863,0.3683199302303027,0.30298487037669997,,,,,0.4042252761797489,0.4061701839741522,0.7496707739775106,0.6410037432079152,0.5785220868865744,0.3460418583012961,,0.6190057353729342,0.6888957125427303,,0.2776008463589107,0.5786929596772296,,,,1.0459632017829807,0.07803605116143345,0.1572404357080629
2000-05-05,,,,,,,,,,0.3381482307374422,0.3683156337706586,0.3047106767529293,,,,,0.4027916066702941,0.4019995312114341,0.752149679799572,0.6035334948952868,0.5813021011882862,0.34852385949005193,,0.6194204451306399,0.677198891760019,,0.27853174987403717,0.5805990193177152,,,,1.0704301141652128,0.0784840838848906,0.1578491765867149
2000-05-08,,,,,,,,,,0.3382845229777127,0.36641694317048606,0.3023262142392543,,,,,0.40293156021027143,0.40234890951257113,0.7523427734184386,0.5932384056437687,0.5796520030311733,0.35061699363421994,,0.6139269878094747,0.6543626356955055,,0.2789375559221784,0.5849311086915527,,,,1.0659240413882558,0.07834451016072218,0.1547714496558586
2000-05-09,,,,,,,,,,0.33756094205614184,0.3681274539941478,0.30289543148318054,,,,,0.40110627918528996,0.4038474588636431,0.7521171045014383,0.5887407459852945,0.5764898306409103,0.3501257657737279,,0.6224435655973514,0.6561010637034361,,0.27803751553522776,0.5796721340601645,,,,1.0562853130198142,0.07906753640772193,0.15485868925333368
2000-05-10,,,,,,,,,,0.32950411748220576,0.36673457508154783,0.3028333349690116,,,,,0.3998126266271152,0.3932161614119566,0.7522974453274464,0.5669440430192948,0.5642046066452567,0.3479902984931575,,0.6229418405925705,0.6529000998657677,,0.27854061783311834,0.5940544519241105,,,,1.0482133385676968,0.07807999872026881,0.15552742264114602
2000-05-11,,,,,,,,,,0.332318338752045,0.3671701527250853,0.30382789809574784,,,,,0.4019866100711956,0.3939669397934249,0.7563503723011201,0.5665029581371278,0.5612610930628845,0.348073781825515,,0.6225803344865415,0.6505940301152023,,0.2822579413347478,0.6030553752510609,,,,1.0595697232053243,0.07856257964906099,0.15572121091761837
2000-05-12,,,,,,,,,,0.33088772906663655,0.36353285654127887,0.3006824309982006,,,,,0.39871796779633445,0.38543111851978223,0.7568440497095892,0.5678647456842915,0.5599071266300973,0.3438036605582459,,0.6190112922195665,0.6518745057415354,,0.2799380107176639,0.6016384937139996,,,,1.062032331834704,0.0846207942366452,0.1581633942029679
2000-05-15,,,,,,,,,,0.33176956628916804,0.3637065361070557,0.30080111442767576,,,,,0.39490781616540943,0.38546312208803574,0.7586004552993176,0.5641138277580925,0.5522740691502246,0.31009582080068443,,0.6192953912040804,0.6538197836229533,,0.2817196951953066,0.6084166475218297,,,,1.066317373990869,0.08482574285342419,0.15666724938691934
2000-05-16,,,,,,,,,,0.32592752663134805,0.35463229358536347,0.2996198341497566,,,,,0.38844763232346124,0.3757062992306143,0.7693538550637777,0.5601092293365497,0.5477200753559068,0.3027412382228148,,0.6189203877586075,0.6579708038092388,,0.2814917638827505,0.6110866572193968,,,,1.059783256695567,0.08560549624629973,0.1575535545245635
2000-05-17,,,,,,,,,,0.3259374024894072,0.3514074601713295,0.300021580352257,,,,,0.3909637695321165,0.37618534851856983,0.7693152816515583,0.56912261056112,0.5484588691476909,0.30276077191359796,,0.6189387067273044,0.6556833599502139,,0.28065213469667943,0.6122739106658417,,,,1.0590681325694913,0.08587320754755096,0.15877695872801809
2000-05-18,,,,,,,,,,0.3259529326372801,0.3517983585313003,0.30033497940276105,,,,,0.3870136098306016,0.3764195985125669,0.7698497596904703,0.5599401404036172,0.5477525672582682,0.29723708565304685,,0.6207281348947088,0.6571123906577703,,0.28162937744898325,0.6143394270674483,,,,1.058639859826512,0.08583681692195605,0.1607363776315275
2000-05-19,,,,,,,,,,0.31938386249722334,0.3458853174726268,0.30250117149960126,,,,,0.3790833634107812,0.3764829510451534,0.7717027879994464,0.5490576646777697,0.5391842118463007,0.2924547693423559,,0.6197438951801599,0.66860415927729,,0.27997485530171995,0.6174271601661934,,,,1.0398969729733432,0.08709981489181765,0.15889219498608786
2000-05-22,,,,,,,,,,0.3193110119713648,0.3406758972807216,0.30369781653799227,,,,,0.3806016603196373,0.37605190483381923,0.7745686431446293,0.547362315834569,0.537253158191953,0.293471062839712,,0.618329644324342,0.6629022829316067,,0.2803908162590805,0.6173185248237668,,,,1.0407799545104346,0.08291260456716909,0.15517151121397724
2000-05-23,,,,,,,,,,0.31399700614030335,0.34116380497804727,0.30333438353697195,,,,,0.379920655350816,0.36963714829253513,0.7671181986554364,0.5274452219420809,0.5378717769636578,0.29163463299646253,,0.6187796542683169,0.6676524470046219,,0.2811469168256472,0.6286887902771513,,,,1.0282988446965162,0.0828768502462528,0.1530791183255807
2000-05-24,,,,,,,,,,0.31267948310752924,0.3329320578054614,0.30355968254099114,,,,,0.3761706189858522,0.3651233989032975,0.7382495832862132,0.5295357925947927,0.5247842176672936,0.2865260286190961,,0.6178332773056129,0.7212941283656006,,0.27978092970649476,0.6403081136907851,,,,1.0352040896643362,0.08257405423976157,0.15091836162840067
2000-05-25,,,,,,,,,,0.31226532168188914,0.3398938018205862,0.30368361936181765,,,,,0.3746251471311897,0.3659854442372306,0.7286659826721205,0.5239224772573183,0.5208331566628894,0.2787135560907365,,0.6177684333998976,0.784727902301959,,0.28198669554670297,0.6402053570293222,,,,1.0332567422167538,0.08021430921904196,0.15342707756767512
2000-05-26,,,,,,,,,,0.30771626778894795,0.34144775944872413,0.30405255113961394,,,,,0.3696332907021072,0.35812341445868506,0.7312775257249963,0.5240716047134232,0.5153611695909359,0.27868888332571917,,0.6174742196833515,0.9311486103547479,,0.27899083072903325,0.640221843301967,,,,1.0324579958841298,0.0860894397149461,0.15253753049782817
2000-05-30,,,,,,,,,,0.30588605476248054,0.34178007430721663,0.3051615709065464,,,,,0.36759130956858455,0.35819903006566456,0.7316090083460368,0.5248624945213636,0.5028504161371592,0.27851402065319525,,0.6175300393839935,0.9515476037905595,,0.2855995762090681,0.6683409308704826,,,,1.0290562725729557,0.08545353797235825,0.15329587589463575
2000-05-31,,,,,,,,,,0.3073939665727965,0.34155841316327157,0.30491239521607016,,,,,0.3672949827222155,0.3585505379899788,0.7324780919326107,0.530298431019404,0.5109391747926043,0.2842303954642894,,0.6159261069296245,0.9675250019771611,,0.2853010012263929,0.6698187619645167,,,,1.0170642247790551,0.08302649218561482,0.15518272333607777
2000-06-01,,,,,,,,,,0.30671695320145453,0.338446868814048,0.3051071063270384,,,,,0.3668364181824943,0.36052738106239296,0.7265294247050966,0.5222175033303703,0.5063826085638274,0.2731425287915109,,0.6156220336484818,0.9782726824957082,,0.2872778535841408,0.6772211474955921,,,,1.02200009056776,0.08205846779561449,0.15762891573119903
