,CL=F,BZ=F,NG=F,GC=F,SI=F,HG=F,ZC=F,ZW=F,ZS=F,XLE,XLB,XLI,GDX,SIL,JETS,IYT,XOM,CVX,FCX,NEM,APA,OXY,TECK,SM,TGB,GORO,SPY,QQQ,IWM,IJH,MGC,^VIX,DX-Y.NYB,^TNX
2000-01-04,,,,,,,,,,-0.01900291978527073,-0.009673261413023243,-0.028016334785028782,,,,,-0.019339157435926305,0.0,-0.05767840304563974,-0.07831298855661681,-0.044951202170914806,-0.02124516892505133,,-0.021506287514564702,-0.08338160893905101,,-0.03989159818849396,-0.07106811241605364,,,,0.10944144314460613,0.0018940586510914046,-0.009667799597039152
2000-01-05,,,,,,,,,,0.026036739410591543,0.04048195173141771,-0.004466435832804114,,,,,0.05308171847265814,0.017778226707275892,0.036812945347090544,0.011174169140185054,0.028330327877353543,0.006116215995910663,,-0.005449875193817474,-0.04445176257083381,,0.001788112274942949,-0.02582668557956733,,,,-0.022464455747105753,-0.00029888349796271106,0.017426280576256743
2000-01-06,,,,,,,,,,0.03782708150134277,0.0253466714962222,0.013340657010610041,,,,,0.05040519975570974,0.0417030902307072,-0.030583257432971248,-0.011174169140185103,0.09072902397637812,0.027069371130834453,,0.032260897039788496,0.044451762570833796,,-0.016202577045031474,-0.07114959341578991,,,,-0.026085112028780603,0.002686210381105852,-0.0076057853161220785
2000-01-07,,,,,,,,,,0.010629237894534805,-0.0005687512044695836,0.037392894814166446,,,,,-0.0029386358052569403,0.017452292913391756,-0.0251583349534779,-0.03719904344303042,-0.0034073443333289375,0.02924132469924604,,-0.02681102184597085,0.021506205220963682,,0.05645294968220636,0.1166115159517939,,,,-0.1694241450503834,0.0014892186665950236,-0.0068949326319583636
2000-01-10,,,,,,,,,,-0.008382135217128014,-0.003420574041792522,0.0,,,,,-0.014079179229717853,-0.027360703857625682,0.00634969411498843,-0.002920293417435988,-0.04003984614156171,-0.032213187025036616,,-0.005449875193817474,0.0,,0.003424111816167119,0.027399604991944725,,,,-0.00046052173278798055,0.0018830949729312953,0.008268290816464014
2000-01-11,,,,,,,,,,0.00112245136147944,-0.012066270601199039,-0.012848705263596178,,,,,0.002980345102356799,-0.009288922088169657,0.006308713893731759,0.05683388773112583,0.0035459259626681354,0.03796060311332797,,-0.008230558471840491,-0.16126814759612226,,-0.012038188850780672,-0.049872497426682844,,,,0.035742367490941555,-0.004266940881687693,0.016034218215207476
2000-01-12,,,,,,,,,,-0.004494898165204242,-0.014555117306230946,-0.011924283592030707,,,,,-0.00597044520470052,-0.003596038682319592,-0.015848819489413395,-0.02234798586617374,-0.005323754520705985,-0.005747416088291327,,0.002751220365995553,0.07232066157962608,,-0.009997782473368863,-0.02226232546418247,,,,0.014998082258165799,0.0005965323558670183,0.004790437982876466
2000-01-13,,,,,,,,,,0.017304615569418893,0.004096668417941203,0.018904105588102627,,,,,0.022939077508635285,0.00932246594341493,-0.006409649505211349,-0.03448590186495204,0.021127047445958266,0.031208348756196547,,-0.011049779370214438,0.02298951822469878,,0.013452473801169783,0.05852900859011504,,,,-0.050740449749107255,0.003769444481505935,-0.011717133888600363
2000-01-14,,,,,,,,,,-0.006106393325842784,-0.0070343624325200395,-0.006979821996071933,,,,,-0.019948977406291726,-0.006444719931852369,-0.0227654703783308,-0.02666804598514184,-0.008748206471341074,-0.01690169286265394,,0.005539950174200737,0.0,,0.013486341763089254,0.023020798166299875,,,,-0.0991868347617497,0.007103435713280012,0.008426134210214131
2000-01-18,,,,,,,,,,0.01217498259559018,-0.024413412129460802,-0.0010779777887755953,,,,,0.011869391126449984,0.026233087071909172,0.025975939744918942,0.06115394785009402,0.0890593651405089,0.0,,0.13904119675448945,-0.0953101798043249,,-0.007898665665842776,0.005340182576191718,,,,0.08946682817593386,0.0013753748939824167,0.01102683784448545
2000-01-19,,,,,,,,,,-0.003305893367506733,-0.019477452143506286,-0.003241557189385145,,,,,0.009541126264671938,-0.015514964250468612,0.025318238658675028,-0.011363513699368824,-0.006452156679404136,0.014104767435536961,,-0.019418612244230322,0.13976194237515863,,0.008110643876866877,0.02238441619434274,,,,0.010180528318603757,-0.0009822068638791043,-0.0034142748585473718
2000-01-20,,,,,,,,,,0.0,-0.026784336153390723,-0.006515021513505046,,,,,-0.022157890466626785,-0.0049873565362920525,-0.04800981735880416,-0.037849907445005423,0.006452156679404105,-0.00843894635650212,,0.012180716800459963,-0.04445176257083381,,-0.015423963489712382,-0.009813714088760184,,,,0.001380294082472238,-0.00393857855013748,0.003414274858547317
2000-01-21,,,,,,,,,,0.027219927096078022,0.0044095467491364,-0.012605966486281423,,,,,0.015562099150099623,0.012069361329919655,-0.03673174824932547,0.005917116131415959,0.034758143441403,-0.01997247697257758,,-0.03198261417322865,0.0,,-0.0021608078799912177,0.012414168994605672,,,,-0.04369970900568892,0.003938578550137564,0.004878417788328154
2000-01-24,,,,,,,,,,-0.036089016324161616,-0.026752892396415588,-0.02910134526361082,,,,,-0.008863101552685387,0.0028190505684141053,-0.02758806546962349,-0.032986368402155734,-0.026751802345337642,-0.03818344152325702,,0.012422184323968211,0.10763066419236536,,-0.02875276023185335,-0.04924460531471965,,,,0.14505219058729832,0.004314527324317027,-0.01440799093771747
2000-01-25,,,,,,,,,,-0.002229840257686141,-0.018899468084686902,-0.005694665889803613,,,,,-0.0022281566854149577,-0.002819050568414039,-0.014085125289742534,-0.05644176183886512,0.011102481160479337,-0.05223892320494487,,-0.017435433146185217,0.059423420470800806,,0.01129260598436882,0.014894545456222485,,,,-0.04460281593708946,0.0020527519376806825,0.0
